Open TCP Ports with Services:
Port 1140 (UDP) is Open, Service: Unknown
Port 1141 (UDP) is Open, Service: Unknown
Port 1124 (UDP) is Open, Service: Unknown
Port 1151 (UDP) is Open, Service: Unknown
Port 1152 (UDP) is Open, Service: Unknown
Port 1160 (UDP) is Open, Service: Unknown
Port 1122 (UDP) is Open, Service: Unknown
Port 1153 (UDP) is Open, Service: Unknown
Port 1130 (UDP) is Open, Service: Unknown
Port 1165 (UDP) is Open, Service: Unknown
Port 1125 (UDP) is Open, Service: Unknown
Port 1126 (UDP) is Open, Service: Unknown
Port 1175 (UDP) is Open, Service: Unknown
Port 1189 (UDP) is Open, Service: Unknown
Port 1168 (UDP) is Open, Service: Unknown
Port 1180 (UDP) is Open, Service: Unknown
Port 1183 (UDP) is Open, Service: Unknown
Port 1186 (UDP) is Open, Service: Unknown
Port 1185 (UDP) is Open, Service: Unknown
Port 1184 (UDP) is Open, Service: Unknown
Port 1176 (UDP) is Open, Service: Unknown
Port 1202 (UDP) is Open, Service: Unknown
Port 1167 (UDP) is Open, Service: Unknown
Port 1188 (UDP) is Open, Service: Unknown
Port 1197 (UDP) is Open, Service: Unknown
Port 1203 (UDP) is Open, Service: Unknown
Port 1187 (UDP) is Open, Service: Unknown
Port 1208 (UDP) is Open, Service: Unknown
Port 1190 (UDP) is Open, Service: Unknown
Port 1212 (UDP) is Open, Service: Unknown
Port 1171 (UDP) is Open, Service: Unknown
Port 1205 (UDP) is Open, Service: Unknown
Port 1198 (UDP) is Open, Service: Unknown
Port 1191 (UDP) is Open, Service: Unknown
Port 1179 (UDP) is Open, Service: Unknown
Port 1207 (UDP) is Open, Service: Unknown
Port 1193 (UDP) is Open, Service: Unknown
Port 1204 (UDP) is Open, Service: Unknown
Port 1199 (UDP) is Open, Service: Unknown
Port 1215 (UDP) is Open, Service: Unknown
Port 1200 (UDP) is Open, Service: Unknown
Port 1219 (UDP) is Open, Service: Unknown
Port 1213 (UDP) is Open, Service: Unknown
Port 1217 (UDP) is Open, Service: Unknown
Port 1214 (UDP) is Open, Service: Unknown
